name,year_start,year_end,position,height,weight,birth_date,college
Donovan Mitchell,2018,2018.0,G,6-3,211.0,1996-09-07,University of Louisville
Leland Mitchell,1968,1968.0,G,6-4,210.0,1941-02-22,Mississippi State University
Mike Mitchell,1979,1988.0,F,6-7,215.0,1956-01-01,Auburn University
Murray Mitchell,1950,1950.0,C,6-6,,1923-03-19,Sam Houston State University
Sam Mitchell,1990,2002.0,F,6-6,210.0,1963-09-02,Mercer University
Todd Mitchell,1989,1989.0,F,6-7,205.0,1966-07-26,Purdue University
Tony Mitchell,2014,2014.0,F,6-6,216.0,1989-08-07,University of Alabama
Steve Mix,1970,1983.0,F,6-7,215.0,1947-12-30,University of Toledo
Bill Mlkvy,1953,1953.0,F,6-4,190.0,1931-01-19,Temple University
Cuttino Mobley,1999,2009.0,G,6-4,190.0,1975-09-01,University of Rhode Island
Eric Mobley,1995,1997.0,C,6-11,235.0,1970-02-01,University of Pittsburgh
Doug Moe,1968,1972.0,F-G,6-5,215.0,1938-09-21,University of North Carolina
Larry Moffett,1978,1978.0,F,6-8,210.0,1954-11-05,"University of Nevada, Las Vegas"
Leo Mogus,1947,1951.0,F-C,6-4,190.0,1921-04-13,Youngstown State University
Nazr Mohammed,1999,2016.0,C,6-10,221.0,1977-09-05,University of Kentucky
Jerome Moiso,2001,2005.0,F-C,6-10,235.0,1978-06-15,"University of California, Los Angeles"
Paul Mokeski,1980,1991.0,C-F,7-0,250.0,1957-01-03,University of Kansas
Jack Molinas,1954,1954.0,F,6-6,200.0,1931-10-31,Columbia University
Wayne Molis,1967,1968.0,F,6-8,230.0,1943-04-17,Lewis University
Sidney Moncrief,1980,1991.0,G,6-3,180.0,1957-09-21,University of Arkansas
Eric Money,1975,1980.0,G,6-0,170.0,1955-02-06,University of Arizona
Sergei Monia,2006,2006.0,F,6-8,220.0,1983-04-15,
Malik Monk,2018,2018.0,G,6-3,200.0,1998-02-04,University of Kentucky
Earl Monroe,1968,1980.0,G,6-3,185.0,1944-11-21,Winston-Salem State University
Greg Monroe,2011,2018.0,C-F,6-11,265.0,1990-06-04,Georgetown University
Rodney Monroe,1992,1992.0,G,6-3,185.0,1968-04-16,North Carolina State University
Luis Montero,2016,2016.0,G,6-7,185.0,1993-04-06,Westchester CC
Howie Montgomery,1963,1963.0,F,6-5,220.0,1940-08-22,University of Texas-Pan American
Eric Montross,1995,2002.0,C,7-0,270.0,1971-09-23,University of North Carolina
Jamario Moon,2008,2012.0,F,6-8,205.0,1980-06-13,Meridian Community College
Jim Mooney,1953,1953.0,F,6-5,215.0,1930-07-08,Villanova University
Andre Moore,1988,1988.0,F,6-9,215.0,1964-07-02,Loyola University of Chicago
E'Twaun Moore,2012,2018.0,G,6-4,191.0,1989-02-28,Purdue University
Gene Moore,1969,1975.0,C-F,6-9,225.0,1945-07-29,Saint Louis University
Jackie Moore,1955,1957.0,F,6-5,180.0,1932-09-24,La Salle University
Johnny Moore,1981,1990.0,G,6-1,175.0,1958-03-03,University of Texas at Austin
Larry Moore,1968,1968.0,F,6-7,215.0,,
Lowes Moore,1981,1983.0,G,6-1,170.0,1957-05-05,West Virginia University
Mikki Moore,1999,2012.0,C,6-11,225.0,1975-11-04,University of Nebraska
Otto Moore,1969,1977.0,C-F,6-11,205.0,1946-08-27,University of Texas-Pan American
Richard Moore,1968,1968.0,G,6-2,190.0,,Hiram Scott College
Ron Moore,1988,1988.0,C,7-0,260.0,1962-01-16,West Virginia State University
Tracy Moore,1992,1997.0,G-F,6-4,200.0,1965-12-28,University of Tulsa
Eric Moreland,2015,2018.0,F-C,6-10,238.0,1991-12-24,Oregon State University
Jackie Moreland,1961,1970.0,F-G,6-7,215.0,1938-03-11,Louisiana Tech University
Guy Morgan,1983,1983.0,G,6-8,205.0,1960-08-23,Wake Forest University
Rex Morgan,1971,1972.0,G,6-5,190.0,1948-10-27,Jacksonville University
Elmore Morgenthaler,1947,1949.0,C,6-9,230.0,1922-08-03,New Mexico Institute of Mining and Technology
Darren Morningstar,1994,1994.0,C,6-10,235.0,1969-04-22,University of Pittsburgh
Chris Morris,1989,1999.0,F,6-8,210.0,1966-01-20,Auburn University
Darius Morris,2012,2015.0,G,6-4,190.0,1991-01-03,University of Michigan
Isaiah Morris,1993,1993.0,F,6-8,229.0,1969-04-02,University of Arkansas
Marcus Morris,2012,2018.0,F,6-9,235.0,1989-09-02,University of Kansas
Markieff Morris,2012,2018.0,F,6-10,245.0,1989-09-02,University of Kansas
Max Morris,1950,1950.0,F-C,6-2,195.0,1925-03-14,Northwestern University
Monte Morris,2018,2018.0,G,6-3,175.0,1995-06-27,Iowa State University
Randolph Morris,2007,2010.0,C,6-10,266.0,1986-01-02,University of Kentucky
Terence Morris,2002,2006.0,F,6-9,221.0,1979-01-11,University of Maryland
Adam Morrison,2007,2010.0,F,6-8,205.0,1984-07-19,Gonzaga University
John Morrison,1968,1968.0,G,6-2,190.0,1945-05-02,Canisius College
Mike Morrison,1990,1990.0,G,6-4,195.0,1967-08-16,Loyola College in Maryland
Red Morrison,1955,1958.0,F-C,6-8,220.0,1932-04-26,University of Idaho
Anthony Morrow,2009,2017.0,G,6-5,210.0,1985-09-27,Georgia Institute of Technology
Dwayne Morton,1995,1995.0,F,6-7,195.0,1971-08-08,University of Louisville
John Morton,1990,1992.0,G,6-3,180.0,1967-05-18,Seton Hall University
Richard Morton,1989,1989.0,G,6-3,190.0,1966-02-02,"California State University, Fullerton"
Glenn Mosley,1978,1979.0,F,6-8,195.0,1955-12-26,Seton Hall University
Perry Moss,1986,1987.0,G,6-2,185.0,1958-11-11,Northeastern University
Lawrence Moten,1996,1998.0,G,6-5,185.0,1972-03-25,Syracuse University
Donatas Motiejunas,2013,2017.0,F-C,7-0,222.0,1990-09-20,
Johnathan Motley,2018,2018.0,F,6-9,238.0,1995-05-04,Baylor University
Hanno Mottola,2001,2002.0,C,6-11,247.0,1976-09-09,University of Utah
Arnett Moultrie,2013,2014.0,F,6-11,249.0,1990-11-18,Mississippi State University
Rick Mount,1971,1975.0,G,6-3,175.0,1947-01-05,Purdue University
Alonzo Mourning,1993,2008.0,C,6-10,240.0,1970-02-08,Georgetown University
Timofey Mozgov,2011,2018.0,C,7-1,275.0,1986-07-16,
Chuck Mrazovich,1951,1951.0,F,6-5,185.0,1924-02-26,Eastern Kentucky University
Emmanuel Mudiay,2016,2018.0,G,6-5,200.0,1996-03-05,
Erwin Mueller,1967,1974.0,C-F,6-8,230.0,1944-03-12,University of San Francisco
Shabazz Muhammad,2014,2018.0,F-G,6-6,223.0,1992-11-13,"University of California, Los Angeles"
Joe Mullaney,1950,1950.0,G,6-0,165.0,1924-11-17,College of the Holy Cross
Bob Mullens,1947,1947.0,G,6-1,175.0,1922-11-01,Fordham University
Byron Mullens,2010,2014.0,C,7-0,275.0,1989-02-14,Ohio State University
Chris Mullin,1986,2001.0,F-G,6-6,200.0,1963-07-30,St. John's University
Jeff Mullins,1965,1976.0,G-F,6-4,190.0,1942-03-18,Duke University
