name,year_start,year_end,position,height,weight,birth_date,college
Alaa Abdelnaby,1991,1995.0,F-C,6-10,240.0,1968-06-24,Duke University
Zaid Abdul-Aziz,1969,1978.0,C-F,6-9,235.0,1946-04-07,Iowa State University
Kareem Abdul-Jabbar,1970,1989.0,C,7-2,225.0,1947-04-16,"University of California, Los Angeles"
Mahmoud Abdul-Rauf,1991,2001.0,G,6-1,162.0,1969-03-09,Louisiana State University
Tariq Abdul-Wahad,1998,2003.0,F,6-6,223.0,1974-11-03,San Jose State University
Shareef Abdur-Rahim,1997,2008.0,F,6-9,225.0,1976-12-11,University of California
Tom Abernethy,1977,1981.0,F,6-7,220.0,1954-05-06,Indiana University
Forest Able,1957,1957.0,G,6-3,180.0,1932-07-27,Western Kentucky University
John Abramovic,1947,1948.0,F,6-3,195.0,1919-02-09,Salem International University
Alex Abrines,2017,2018.0,G-F,6-6,190.0,1993-08-01,
Alex Acker,2006,2009.0,G,6-5,185.0,1983-01-21,Pepperdine University
Don Ackerman,1954,1954.0,G,6-0,183.0,1930-09-04,Long Island University
Mark Acres,1988,1993.0,F-C,6-11,220.0,1962-11-15,Oral Roberts University
Bud Acton,1968,1968.0,F,6-6,210.0,1942-01-11,Hillsdale College
Quincy Acy,2013,2018.0,F,6-7,240.0,1990-10-06,Baylor University
Alvan Adams,1976,1988.0,C-F,6-9,210.0,1954-07-19,University of Oklahoma
Don Adams,1971,1977.0,F,6-6,210.0,1947-11-27,Northwestern University
George Adams,1973,1975.0,F-G,6-5,210.0,1949-05-15,Gardner-Webb University
Hassan Adams,2007,2009.0,G,6-4,220.0,1984-06-20,University of Arizona
Jordan Adams,2015,2016.0,G,6-5,209.0,1994-07-08,"University of California, Los Angeles"
Michael Adams,1986,1996.0,G,5-10,162.0,1963-01-19,Boston College
Steven Adams,2014,2018.0,C,7-0,255.0,1993-07-20,University of Pittsburgh
Rafael Addison,1987,1997.0,F-G,6-7,215.0,1964-07-22,Syracuse University
Bam Adebayo,2018,2018.0,C-F,6-10,243.0,1997-07-18,University of Kentucky
Rick Adelman,1969,1975.0,G,6-1,175.0,1946-06-16,Loyola Marymount University
Jeff Adrien,2011,2015.0,F,6-7,245.0,1986-02-10,University of Connecticut
Arron Afflalo,2008,2018.0,G,6-5,210.0,1985-10-15,"University of California, Los Angeles"
Maurice Ager,2007,2011.0,G,6-5,202.0,1984-02-09,Michigan State University
Mark Aguirre,1982,1994.0,F-G,6-6,232.0,1959-12-10,DePaul University
Blake Ahearn,2008,2012.0,G,6-2,190.0,1984-05-27,Missouri State University
Danny Ainge,1982,1995.0,G,6-4,175.0,1959-03-17,Brigham Young University
Matthew Aitch,1968,1968.0,F,6-7,230.0,1944-09-21,Michigan State University
Alexis Ajinca,2009,2017.0,C,7-2,248.0,1988-05-06,
Henry Akin,1967,1969.0,C-F,6-10,225.0,1944-07-31,Morehead State University
Josh Akognon,2013,2013.0,G,5-11,185.0,1986-02-10,"California State University, Fullerton"
Solomon Alabi,2011,2012.0,C,7-1,251.0,1988-03-21,Florida State University
Mark Alarie,1987,1991.0,F,6-8,217.0,1963-12-11,Duke University
Gary Alcorn,1960,1961.0,C,6-9,225.0,1936-10-08,"California State University, Fresno"
Furkan Aldemir,2015,2015.0,F-C,6-10,240.0,1991-08-09,
Cole Aldrich,2011,2018.0,C,6-11,250.0,1988-10-31,University of Kansas
LaMarcus Aldridge,2007,2018.0,F-C,6-11,260.0,1985-07-19,University of Texas at Austin
Chuck Aleksinas,1985,1985.0,C,6-11,260.0,1959-02-26,University of Connecticut
Cliff Alexander,2016,2016.0,F,6-8,245.0,1995-11-16,University of Kansas
Cory Alexander,1996,2005.0,G,6-1,185.0,1973-06-22,University of Virginia
Courtney Alexander,2001,2003.0,G,6-5,205.0,1977-04-27,"California State University, Fresno"
Gary Alexander,1994,1994.0,F,6-7,240.0,1969-11-01,University of South Florida
Joe Alexander,2009,2010.0,F,6-8,230.0,1986-12-26,West Virginia University
Victor Alexander,1992,2002.0,C-F,6-9,265.0,1969-08-31,Iowa State University
Steve Alford,1988,1991.0,G,6-2,183.0,1964-11-23,Indiana University
Bill Allen,1968,1968.0,C-F,6-8,205.0,,New Mexico State University
Bob Allen,1969,1969.0,F,6-9,205.0,1946-07-17,Marshall University
Jarrett Allen,2018,2018.0,F-C,6-10,234.0,1998-04-21,University of Texas at Austin
Jerome Allen,1996,1997.0,G,6-4,184.0,1973-01-28,University of Pennsylvania
Kadeem Allen,2018,2018.0,G,6-3,192.0,1993-01-15,University of Arizona
Lavoy Allen,2012,2017.0,F-C,6-9,260.0,1989-02-04,Temple University
Lucius Allen,1970,1979.0,G,6-2,175.0,1947-09-26,"University of California, Los Angeles"
Malik Allen,2002,2011.0,F-C,6-10,255.0,1978-06-27,Villanova University
Randy Allen,1989,1990.0,F,6-8,220.0,1965-01-26,Florida State University
Ray Allen,1997,2014.0,G,6-5,205.0,1975-07-20,University of Connecticut
Tony Allen,2005,2018.0,G-F,6-4,213.0,1982-01-11,Oklahoma State University
Willie Allen,1972,1972.0,F,6-6,230.0,1949-02-08,University of Miami
Odis Allison,1972,1972.0,F,6-6,195.0,1949-10-02,"University of Nevada, Las Vegas"
Lance Allred,2008,2008.0,C,6-11,250.0,1981-02-02,Weber State University
Darrell Allums,1981,1981.0,F,6-9,220.0,1958-09-12,"University of California, Los Angeles"
Morris Almond,2008,2012.0,G,6-6,225.0,1985-02-02,Rice University
Derrick Alston,1995,1997.0,F,6-11,225.0,1972-08-20,Duquesne University
Rafer Alston,2000,2010.0,G,6-2,171.0,1976-07-24,"California State University, Fresno"
Peter Aluma,1999,1999.0,C,6-10,260.0,1973-04-23,Liberty University
John Amaechi,1996,2003.0,C-F,6-10,270.0,1970-11-26,Pennsylvania State University
Ashraf Amaya,1996,1997.0,F,6-8,230.0,1971-11-23,Southern Illinois University
Al-Farouq Aminu,2011,2018.0,F,6-9,220.0,1990-09-21,Wake Forest University
Lou Amundson,2007,2016.0,F,6-9,220.0,1982-12-07,"University of Nevada, Las Vegas"
Bob Anderegg,1960,1960.0,F-G,6-3,200.0,1937-08-24,Michigan State University
Chris Andersen,2002,2017.0,F-C,6-10,245.0,1978-07-07,Blinn College
David Andersen,2010,2011.0,C,6-11,245.0,1980-06-23,
Alan Anderson,2006,2017.0,G-F,6-6,220.0,1982-10-16,Michigan State University
Andrew Anderson,1968,1970.0,G,6-2,184.0,1945-07-06,Canisius College
Antonio Anderson,2010,2010.0,G,6-6,215.0,1985-06-05,University of Memphis
Cliff Anderson,1968,1971.0,G-F,6-2,200.0,1944-09-07,Saint Joseph's University
Dan Anderson,1968,1969.0,C,6-10,230.0,1943-02-15,Augsburg College
Derek Anderson,1998,2008.0,G,6-5,194.0,1974-07-18,University of Kentucky
Dwight Anderson,1983,1983.0,G,6-3,185.0,1960-12-28,University of Southern California
Eric Anderson,1993,1994.0,F,6-9,220.0,1970-05-26,Indiana University
Greg Anderson,1988,1998.0,F-C,6-10,230.0,1964-06-22,University of Houston
J.J. Anderson,1983,1985.0,F,6-8,195.0,1960-09-23,Bradley University
James Anderson,2011,2016.0,G-F,6-6,213.0,1989-03-25,Oklahoma State University
Jerome Anderson,1976,1977.0,G,6-5,195.0,1953-10-09,West Virginia University
Justin Anderson,2016,2018.0,G,6-6,228.0,1993-11-19,University of Virginia
Kenny Anderson,1992,2005.0,G,6-0,168.0,1970-10-09,Georgia Institute of Technology
Kim Anderson,1979,1979.0,F,6-7,200.0,1955-05-12,University of Missouri
Kyle Anderson,2015,2018.0,F-G,6-9,230.0,1993-09-20,"University of California, Los Angeles"
Michael Anderson,1989,1989.0,G,5-11,184.0,1966-03-23,Drexel University
Nick Anderson,1990,2002.0,F-G,6-6,205.0,1968-01-20,University of Illinois at Urbana-Champaign
Richard Anderson,1983,1990.0,F-C,6-10,240.0,1960-11-19,"University of California, Santa Barbara"
Ron Anderson,1985,1994.0,F-G,6-7,215.0,1958-10-15,"California State University, Fresno"
Ryan Anderson,2009,2018.0,F,6-10,240.0,1988-05-06,University of California
Shandon Anderson,1997,2006.0,F-G,6-6,208.0,1973-12-31,University of Georgia
Willie Anderson,1989,1997.0,G-F,6-7,190.0,1967-01-08,University of Georgia
Wally Anderzunas,1970,1970.0,C-F,6-7,220.0,1946-01-11,Creighton University
Martynas Andriuskevicius,2006,2006.0,C,7-2,240.0,1986-03-12,
Don Anielak,1955,1955.0,F,6-7,190.0,1930-11-01,Missouri State University
Ike Anigbogu,2018,2018.0,F-C,6-10,252.0,1998-10-22,"University of California, Los Angeles"
Michael Ansley,1990,1992.0,F,6-7,225.0,1967-02-08,University of Alabama
Chris Anstey,1998,2000.0,C,7-0,249.0,1975-01-01,
Giannis Antetokounmpo,2014,2018.0,F-G,6-11,222.0,1994-12-06,
Thanasis Antetokounmpo,2016,2016.0,F,6-7,205.0,1992-07-17,
Carmelo Anthony,2004,2018.0,F,6-8,240.0,1984-05-29,Syracuse University
Greg Anthony,1992,2002.0,G,6-0,176.0,1967-11-15,"University of Nevada, Las Vegas"
Joel Anthony,2008,2017.0,C,6-9,245.0,1982-08-09,"University of Nevada, Las Vegas"
Pero Antic,2014,2015.0,C-F,6-11,260.0,1982-07-29,
OG Anunoby,2018,2018.0,F,6-8,232.0,1997-07-17,Indiana University
Keith Appling,2016,2016.0,G,6-1,185.0,1992-02-13,Michigan State University
Rafael Araujo,2005,2007.0,C,6-11,280.0,1980-08-12,Brigham Young University
Stacey Arceneaux,1962,1962.0,F,6-4,210.0,1936-02-17,Iowa State University
Robert Archibald,2003,2004.0,F,6-11,250.0,1980-03-29,University of Illinois at Urbana-Champaign
Tiny Archibald,1971,1984.0,G,6-1,150.0,1948-09-02,University of Texas at El Paso
Ryan Arcidiacono,2018,2018.0,G,6-3,188.0,1994-03-26,Villanova University
Jim Ard,1971,1978.0,F-C,6-8,215.0,1948-09-19,University of Cincinnati
Gilbert Arenas,2002,2012.0,G,6-3,191.0,1982-01-06,University of Arizona
Trevor Ariza,2005,2018.0,F,6-8,215.0,1985-06-30,"University of California, Los Angeles"
Paul Arizin,1951,1962.0,F-G,6-4,190.0,1928-04-09,Villanova University
Joe Arlauckas,1988,1988.0,F,6-9,230.0,1965-07-20,Niagara University
B.J. Armstrong,1990,2000.0,G,6-2,175.0,1967-09-09,University of Iowa
Bob Armstrong,1957,1957.0,C-F,6-8,220.0,1933-06-17,Michigan State University
Brandon Armstrong,2002,2004.0,G,6-5,188.0,1980-06-16,Pepperdine University
Curly Armstrong,1949,1951.0,G-F,5-11,170.0,1918-11-01,Indiana University
Darrell Armstrong,1995,2008.0,G,6-0,170.0,1968-06-22,Fayetteville State University
Hilton Armstrong,2007,2014.0,F-C,6-11,235.0,1984-11-11,University of Connecticut
Tate Armstrong,1978,1979.0,G,6-3,175.0,1955-10-05,Duke University
Jesse Arnelle,1956,1956.0,F,6-5,220.0,1933-12-30,Pennsylvania State University
Jay Arnette,1964,1966.0,G,6-2,175.0,1938-12-19,University of Texas at Austin
Bob Arnzen,1970,1974.0,F,6-5,205.0,1947-11-03,University of Notre Dame
Carlos Arroyo,2002,2011.0,G,6-2,202.0,1979-07-30,Florida International University
Darrell Arthur,2009,2018.0,F,6-9,235.0,1988-03-25,University of Kansas
John Arthurs,1970,1970.0,G,6-4,185.0,1947-08-15,Tulane University
Jamel Artis,2018,2018.0,G-F,6-7,213.0,1993-01-12,University of Pittsburgh
Omer Asik,2011,2018.0,C,7-0,255.0,1986-07-04,
Vincent Askew,1988,1998.0,G-F,6-6,210.0,1966-02-28,University of Memphis
Keith Askins,1991,1999.0,G-F,6-7,197.0,1967-12-15,University of Alabama
Don Asmonga,1954,1954.0,G,6-2,185.0,1928-02-15,Alliance College
Dick Atha,1956,1958.0,G,6-2,190.0,1931-09-21,Indiana State University
Chucky Atkins,2000,2010.0,G,5-11,160.0,1974-08-14,University of South Florida
Al Attles,1961,1971.0,G,6-0,175.0,1936-11-07,North Carolina Agricultural and Technical State University
Chet Aubuchon,1947,1947.0,G,5-10,137.0,1916-05-18,Michigan State University
Stacey Augmon,1992,2006.0,F-G,6-8,205.0,1968-08-01,"University of Nevada, Las Vegas"
D.J. Augustin,2009,2018.0,G,6-0,183.0,1987-11-10,University of Texas at Austin
James Augustine,2007,2008.0,F,6-10,235.0,1984-02-27,University of Illinois at Urbana-Champaign
Isaac Austin,1992,2002.0,C,6-10,255.0,1969-08-18,Arizona State University
Johnny Austin,1967,1968.0,G,6-0,170.0,1944-08-31,Boston College
Ken Austin,1984,1984.0,F,6-9,205.0,1961-07-15,Rice University
Anthony Avent,1993,2000.0,F,6-9,235.0,1969-10-18,Seton Hall University
Bird Averitt,1974,1978.0,G,6-1,170.0,1952-07-22,Pepperdine University
William Avery,2000,2002.0,G,6-2,197.0,1979-08-08,Duke University
Dennis Awtrey,1971,1982.0,C,6-10,235.0,1948-02-22,Santa Clara University
Gustavo Ayon,2012,2014.0,C,6-10,250.0,1985-04-01,
Jeff Ayres,2010,2016.0,F,6-9,240.0,1987-04-29,Arizona State University
Kelenna Azubuike,2007,2012.0,G,6-5,220.0,1983-12-16,University of Kentucky
Chris Babb,2014,2014.0,G,6-5,225.0,1990-02-14,Iowa State University
Luke Babbitt,2011,2018.0,F,6-9,225.0,1989-06-20,"University of Nevada, Reno"
Milos Babic,1991,1992.0,C-F,7-0,240.0,1968-11-23,Tennessee Technological University
Johnny Bach,1949,1949.0,F-G,6-2,180.0,1924-07-10,Fordham University
Dwayne Bacon,2018,2018.0,G,6-6,222.0,1995-08-30,Florida State University
Henry Bacon,1973,1973.0,G,6-3,205.0,1948-07-05,University of Louisville
Jim Baechtold,1953,1957.0,F-G,6-4,205.0,1927-12-09,Eastern Kentucky University
Dalibor Bagaric,2001,2003.0,C,7-1,255.0,1980-02-07,
John Bagley,1983,1994.0,G,6-0,185.0,1960-04-23,Boston College
Carl Bailey,1982,1982.0,C,7-0,210.0,1958-04-23,Tuskegee University
Gus Bailey,1975,1980.0,G-F,6-5,185.0,1951-02-18,University of Texas at El Paso
James Bailey,1980,1988.0,F-C,6-9,220.0,1957-05-21,Rutgers University
Thurl Bailey,1984,1999.0,F-C,6-11,215.0,1961-04-07,North Carolina State University
Toby Bailey,1999,2000.0,G,6-6,213.0,1975-11-19,"University of California, Los Angeles"
Cameron Bairstow,2015,2016.0,F-C,6-9,250.0,1990-12-07,University of New Mexico
Jimmie Baker,1976,1976.0,F,6-9,220.0,1953-12-25,University of Hawaii
LaMark Baker,1999,1999.0,G,6-1,175.0,1969-11-11,Ohio State University
Maurice Baker,2005,2005.0,G,6-1,175.0,1979-07-28,Oklahoma State University
Norm Baker,1947,1947.0,G,6-0,180.0,1923-02-17,
Ron Baker,2017,2018.0,G,6-4,220.0,1993-03-30,Wichita State University
Vin Baker,1994,2006.0,F,6-11,232.0,1971-11-23,University of Hartford
Wade Baldwin,2017,2017.0,G,6-4,202.0,1996-03-29,Vanderbilt University
Renaldo Balkman,2007,2012.0,F,6-8,208.0,1984-07-14,University of South Carolina
Cedric Ball,1991,1991.0,F,6-8,210.0,1968-04-16,University of North Carolina at Charlotte
Lonzo Ball,2018,2018.0,G,6-6,190.0,1997-10-27,"University of California, Los Angeles"
Greg Ballard,1978,1989.0,F,6-7,215.0,1955-01-29,University of Oregon
Herschel Baltimore,1947,1947.0,F,6-4,195.0,1921-06-21,Pennsylvania State University
Gene Banks,1982,1987.0,F-G,6-7,215.0,1959-05-15,Duke University
Marcus Banks,2004,2011.0,G,6-2,200.0,1981-11-19,"University of Nevada, Las Vegas"
Walker Banks,1971,1971.0,C,6-10,205.0,1947-08-26,Western Kentucky University
Ken Bannister,1985,1991.0,F-C,6-9,235.0,1960-04-01,Saint Augustine's College
Mike Bantom,1974,1982.0,F-C,6-9,200.0,1951-12-03,Saint Joseph's University
John Barber,1957,1957.0,F,6-6,210.0,1927-06-27,"California State University, Los Angeles"
Leandro Barbosa,2004,2017.0,G,6-3,194.0,1982-11-28,
Steve Bardo,1992,1996.0,G,6-5,190.0,1968-04-05,University of Illinois at Urbana-Champaign
J.J. Barea,2007,2018.0,G,6-0,185.0,1984-06-26,Northeastern University
Andrea Bargnani,2007,2016.0,F-C,7-0,245.0,1985-10-26,
Cliff Barker,1950,1952.0,G,6-2,185.0,1921-01-15,University of Kentucky
Tom Barker,1977,1979.0,C-F,6-11,225.0,1955-03-11,University of Hawaii
Charles Barkley,1985,2000.0,F,6-6,252.0,1963-02-20,Auburn University
Erick Barkley,2001,2002.0,G,6-1,177.0,1978-02-21,St. John's University
Don Barksdale,1952,1955.0,F-C,6-6,200.0,1923-03-31,"University of California, Los Angeles"
Harrison Barnes,2013,2018.0,F,6-8,210.0,1992-05-30,University of North Carolina
Harry Barnes,1969,1969.0,F,6-3,205.0,1945-07-25,Northeastern University
Jim Barnes,1965,1971.0,C-F,6-8,210.0,1941-04-13,University of Texas at El Paso
Marvin Barnes,1975,1980.0,F-C,6-8,210.0,1952-07-27,Providence College
Matt Barnes,2004,2017.0,F,6-7,226.0,1980-03-09,"University of California, Los Angeles"
Dick Barnett,1960,1974.0,G-F,6-4,190.0,1936-10-02,Tennessee State University
Jim Barnett,1967,1977.0,G-F,6-4,170.0,1944-07-07,University of Oregon
Nathaniel Barnett,1976,1976.0,G,6-3,175.0,1953-01-29,University of Akron
John Barnhill,1963,1972.0,G,6-1,180.0,1938-03-20,Tennessee State University
Norton Barnhill,1977,1977.0,G,6-4,205.0,1953-07-15,Washington State University
Leo Barnhorst,1950,1954.0,F-G,6-4,190.0,1924-05-11,University of Notre Dame
John Barr,1947,1947.0,F,6-3,205.0,1918-08-08,Pennsylvania State University
Mike Barr,1973,1977.0,G,6-3,180.0,1950-10-19,Duquesne University
Moe Barr,1971,1971.0,G,6-4,195.0,1944-06-19,Duquesne University
Andre Barrett,2005,2008.0,G,5-10,172.0,1982-02-21,Seton Hall University
Ernie Barrett,1954,1956.0,G-F,6-3,180.0,1929-08-27,Kansas State University
Mike Barrett,1970,1973.0,G,6-2,155.0,1943-09-05,West Virginia University Institute of Technology
Earl Barron,2006,2015.0,C,7-0,250.0,1981-08-14,University of Memphis
Dana Barros,1990,2004.0,G,5-11,163.0,1967-04-13,Boston College
Brent Barry,1996,2009.0,G,6-6,185.0,1971-12-31,Oregon State University
Drew Barry,1998,2000.0,G,6-5,191.0,1973-02-17,Georgia Institute of Technology
Jon Barry,1993,2006.0,G,6-4,195.0,1969-07-25,Georgia Institute of Technology
Rick Barry,1966,1980.0,F,6-7,205.0,1944-03-28,University of Miami
Ed Bartels,1950,1951.0,F,6-5,195.0,1925-10-08,North Carolina State University
Vic Bartolome,1972,1972.0,C,7-0,230.0,1948-09-29,Oregon State University
Will Barton,2013,2018.0,G,6-6,175.0,1991-01-06,University of Memphis
Eddie Basden,2006,2006.0,G,6-5,215.0,1983-02-15,University of North Carolina at Charlotte
Jerry Baskerville,1976,1976.0,F,6-7,190.0,1951-11-10,Temple University
Brandon Bass,2006,2017.0,F,6-8,250.0,1985-04-30,Louisiana State University
Tim Bassett,1974,1980.0,F-C,6-8,225.0,1951-04-01,University of Georgia
Maceo Baston,2003,2009.0,F,6-9,215.0,1975-05-29,University of Michigan
Mengke Bateer,2002,2004.0,C,6-11,290.0,1975-11-20,
Billy Ray Bates,1980,1983.0,G,6-4,210.0,1956-05-31,Kentucky State University
Esteban Batista,2006,2007.0,F-C,6-10,270.0,1983-09-02,
Mike Batiste,2003,2003.0,F,6-8,225.0,1977-11-21,Arizona State University
Tony Battie,1998,2012.0,C-F,6-11,230.0,1976-02-11,Texas Tech University
Shane Battier,2002,2014.0,F,6-8,220.0,1978-09-09,Duke University
John Battle,1986,1995.0,G,6-2,175.0,1962-11-09,Rutgers University
Kenny Battle,1990,1993.0,F,6-6,210.0,1964-10-10,University of Illinois at Urbana-Champaign
Dave Batton,1983,1984.0,C,6-10,240.0,1956-03-26,University of Notre Dame
Lloyd Batts,1975,1975.0,G-F,6-4,185.0,1951-05-09,University of Cincinnati
Nicolas Batum,2009,2018.0,F-G,6-8,200.0,1988-12-14,
Johnny Baum,1970,1974.0,F,6-5,200.0,1946-06-17,Temple University
Frankie Baumholtz,1947,1947.0,G,5-10,170.0,1918-10-07,Ohio University
Lonny Baxter,2003,2006.0,F,6-8,260.0,1979-01-27,University of Maryland
Jerryd Bayless,2009,2018.0,G,6-3,200.0,1988-08-20,University of Arizona
Elgin Baylor,1959,1972.0,F,6-5,225.0,1934-09-16,Seattle University
Howard Bayne,1968,1968.0,F,6-6,235.0,1942-07-28,University of Tennessee
Aron Baynes,2013,2018.0,C,6-10,260.0,1986-12-09,Washington State University
Sergei Bazarevich,1995,1995.0,G,6-2,168.0,1965-03-16,
Kent Bazemore,2013,2018.0,G-F,6-5,201.0,1989-07-01,Old Dominion University
Ed Beach,1951,1951.0,F,6-3,200.0,1929-01-25,West Virginia University
Bradley Beal,2013,2018.0,G,6-5,207.0,1993-06-28,University of Florida
Al Beard,1968,1968.0,C,6-9,200.0,1942-04-27,Norfolk State University
Butch Beard,1970,1979.0,G,6-3,185.0,1947-05-04,University of Louisville
Ralph Beard,1950,1951.0,G,5-10,175.0,1927-12-02,University of Kentucky
Charles Beasley,1968,1971.0,G-F,6-5,190.0,1945-09-23,Southern Methodist University
Jerome Beasley,2004,2004.0,F,6-10,237.0,1980-05-17,University of North Dakota
John Beasley,1968,1974.0,F-C,6-9,225.0,1944-02-05,Texas A&M University
Malik Beasley,2017,2018.0,G,6-5,196.0,1996-11-26,Florida State University
Michael Beasley,2009,2018.0,F,6-9,235.0,1989-01-09,Kansas State University
Zelmo Beaty,1963,1975.0,C,6-9,225.0,1939-10-25,Prairie View A&M University
Rodrigue Beaubois,2010,2013.0,G,6-0,170.0,1988-02-24,
Byron Beck,1968,1977.0,C-F,6-9,225.0,1945-01-25,University of Denver
Corey Beck,1996,1999.0,G,6-1,190.0,1971-05-27,University of Arkansas
Ernie Beck,1954,1961.0,G-F,6-4,190.0,1931-12-11,University of Pennsylvania
Arthur Becker,1968,1973.0,F,6-7,205.0,1942-01-12,Arizona State University
Moe Becker,1947,1947.0,G-F,6-1,185.0,1917-02-24,Duquesne University
Bob Bedell,1968,1971.0,F,6-7,205.0,1944-06-26,Stanford University
William Bedford,1987,1993.0,C,7-0,225.0,1963-12-14,University of Memphis
Hank Beenders,1947,1949.0,C-F,6-6,185.0,1916-06-02,Long Island University
Ron Behagen,1974,1980.0,F-C,6-9,185.0,1951-01-14,University of Minnesota
Elmer Behnke,1952,1952.0,C,6-7,210.0,1929-02-03,Bradley University
Marco Belinelli,2008,2018.0,G-F,6-5,210.0,1986-03-25,
Charlie Bell,2002,2011.0,G,6-3,200.0,1979-03-12,Michigan State University
Dennis Bell,1974,1976.0,F,6-5,185.0,1951-06-02,Drake University
Jordan Bell,2018,2018.0,F,6-9,224.0,1995-01-07,University of Oregon
Raja Bell,2001,2012.0,G,6-5,204.0,1976-09-19,Florida International University
Troy Bell,2004,2004.0,G,6-1,180.0,1980-11-10,Boston College
Whitey Bell,1960,1961.0,G,6-0,180.0,1932-09-13,North Carolina State University
Walt Bellamy,1962,1975.0,C,6-11,225.0,1939-07-24,Indiana University
DeAndre' Bembry,2017,2018.0,F,6-6,210.0,1994-07-04,Saint Joseph's University
Irv Bemoras,1954,1957.0,F-G,6-3,185.0,1930-11-18,University of Illinois at Urbana-Champaign
Leon Benbow,1975,1976.0,G,6-4,185.0,1950-07-23,Jacksonville University
Dragan Bender,2017,2018.0,F,7-1,225.0,1997-11-17,
Jonathan Bender,2000,2010.0,F,6-11,202.0,1981-01-30,
Jerrelle Benimon,2015,2015.0,F,6-8,245.0,1991-08-01,Towson University
Benoit Benjamin,1986,2000.0,C,7-0,250.0,1964-11-22,Creighton University
Corey Benjamin,1999,2003.0,G,6-6,200.0,1978-02-24,Oregon State University
Anthony Bennett,2014,2017.0,F,6-8,245.0,1993-03-14,"University of Nevada, Las Vegas"
Elmer Bennett,1995,1997.0,G,6-0,170.0,1970-02-13,University of Notre Dame
Mario Bennett,1996,2000.0,F,6-6,235.0,1973-08-01,Arizona State University
Mel Bennett,1976,1982.0,F,6-7,200.0,1955-01-04,University of Pittsburgh
Spider Bennett,1969,1969.0,G,6-3,190.0,1943-08-04,Winston-Salem State University
Tony Bennett,1993,1995.0,G,6-0,175.0,1969-06-01,University of Wisconsin-Green Bay
Winston Bennett,1990,1992.0,F,6-7,210.0,1965-02-09,University of Kentucky
David Benoit,1992,2001.0,F,6-8,220.0,1968-05-09,University of Alabama
Keith Benson,2012,2012.0,C,6-11,240.0,1988-08-13,Oakland University
Kent Benson,1978,1988.0,C,6-10,235.0,1954-12-27,Indiana University
Ben Bentil,2017,2017.0,F,6-9,235.0,1995-03-29,Providence College
Gene Berce,1950,1950.0,G-F,5-11,175.0,1926-11-22,Marquette University
Gary Bergen,1957,1957.0,C,6-8,210.0,1932-07-16,University of Utah
Larry Bergh,1970,1970.0,F,6-8,210.0,1945-04-02,Weber State University
Ricky Berry,1989,1989.0,F,6-8,205.0,1964-10-06,San Jose State University
Walter Berry,1987,1989.0,F,6-8,215.0,1964-05-14,St. John's University
Davis Bertans,2017,2018.0,F,6-10,210.0,1992-11-12,
Del Beshore,1979,1980.0,G,5-11,165.0,1956-11-29,California University of Pennslyvania
Travis Best,1996,2005.0,G,5-11,182.0,1972-07-12,Georgia Institute of Technology
Patrick Beverley,2013,2018.0,G,6-1,185.0,1988-07-12,University of Arkansas
Sim Bhullar,2015,2015.0,C,7-5,360.0,1992-12-02,New Mexico State University
Wesley Bialosuknia,1968,1968.0,G,6-2,185.0,1945-06-08,University of Connecticut
Al Bianchi,1957,1966.0,G,6-3,185.0,1932-03-26,Bowling Green State University
Hank Biasatti,1947,1947.0,G,5-11,175.0,1922-01-14,Long Island University
Henry Bibby,1973,1981.0,G,6-1,185.0,1949-11-24,"University of California, Los Angeles"
Mike Bibby,1999,2012.0,G,6-1,190.0,1978-05-13,University of Arizona
Ed Biedenbach,1969,1969.0,G,6-1,175.0,1945-08-12,North Carolina State University
Andris Biedrins,2005,2014.0,C,6-11,240.0,1986-04-02,
Don Bielke,1956,1956.0,C,6-7,240.0,,Valparaiso University
Bob Bigelow,1976,1979.0,F-G,6-7,215.0,1953-12-26,University of Pennsylvania
Lionel Billingy,1975,1975.0,F-C,6-9,215.0,1952-08-31,Duquesne University
Chauncey Billups,1998,2014.0,G,6-3,202.0,1976-09-25,University of Colorado
Dave Bing,1967,1978.0,G,6-3,180.0,1943-11-24,Syracuse University
Joe Binion,1987,1987.0,F,6-8,235.0,1961-03-26,North Carolina Agricultural and Technical State University
Khem Birch,2018,2018.0,C-F,6-9,220.0,1992-09-28,"University of Nevada, Las Vegas"
Jabari Bird,2018,2018.0,G,6-6,197.0,1994-07-03,University of California
Jerry Bird,1959,1959.0,F,6-6,210.0,1935-02-02,University of Kentucky
Larry Bird,1980,1992.0,F,6-9,220.0,1956-12-07,Indiana State University
Otis Birdsong,1978,1989.0,G,6-3,190.0,1955-12-09,University of Houston
Gale Bishop,1949,1949.0,F,6-3,195.0,1922-06-04,Washington State University
Nemanja Bjelica,2016,2018.0,F,6-10,240.0,1988-05-09,
Uwe Blab,1986,1990.0,C,7-1,252.0,1962-03-26,Indiana University
Charlie Black,1949,1952.0,F-C,6-5,200.0,1921-06-15,University of Kansas
Norman Black,1981,1981.0,G,6-5,185.0,1957-11-12,Saint Joseph's University
Tarik Black,2015,2018.0,C-F,6-9,250.0,1991-11-22,University of Kansas
Tom Black,1971,1971.0,C,6-10,220.0,1941-07-09,South Dakota State University
Rolando Blackman,1982,1994.0,G,6-6,190.0,1959-02-26,Kansas State University
Alex Blackwell,1993,1993.0,F,6-6,250.0,1970-06-27,Monmouth University
